ts_event,open,high,low,close,volume
1 ,"29,710.00","29,795.00","29,676.00","29,784.75","72,375"
2 ,"29,784.25","29,824.25","29,747.75","29,767.25","74,915"
3 ,"29,767.75","29,838.50","29,721.25","29,761.75","59,717"
4 ,"29,762.50","29,776.00","29,578.00","29,618.25","73,421"
5 ,"29,618.50","29,631.75","29,532.25","29,542.75","58,119"
6 ,"29,542.50","29,554.50","29,452.00","29,496.50","57,109"
7 ,"29,496.75","29,517.75","29,327.75","29,330.00","70,677"
8 ,"29,330.25","29,387.75","29,274.00","29,380.75","65,504"
9 ,"29,380.75","29,437.00","29,337.00","29,401.25","58,149"
10 ,"29,402.75","29,551.00","29,391.75","29,545.00","59,596"
11 ,"29,545.25","29,652.75","29,524.75","29,633.00","59,110"
12 ,"29,633.00","29,642.50","29,559.75","29,587.25","46,343"
13 ,"29,587.00","29,624.75","29,562.25","29,578.75","41,978"
14 ,"29,579.25","29,584.25","29,498.00","29,571.50","64,146"
15 ,"29,571.25","29,687.75","29,567.00","29,675.00","56,839"
16 ,"29,674.25","29,716.50","29,643.00","29,714.50","35,490"
17 ,"29,714.75","29,734.00","29,696.50","29,703.00","37,076"
18 ,"29,702.75","29,728.00","29,680.75","29,717.00","31,973"
19 ,"29,717.50","29,726.25","29,664.25","29,724.00","37,266"
20 ,"29,724.00","29,752.50","29,681.50","29,695.50","34,360"
21 ,"29,696.25","29,741.25","29,658.75","29,679.75","35,199"
22 ,"29,681.00","29,774.75","29,675.75","29,769.75","27,146"
23 ,"29,770.00","29,802.25","29,758.75","29,767.00","23,806"
24 ,"29,767.25","29,803.75","29,735.00","29,795.25","24,181"
25 ,"29,794.25","29,823.00","29,773.25","29,819.50","21,677"
26 ,"29,819.75","29,820.00","29,778.00","29,792.00","19,084"
27 ,"29,791.75","29,829.50","29,786.75","29,820.50","19,324"
28 ,"29,820.00","29,848.00","29,796.25","29,839.75","21,347"
29 ,"29,839.75","29,873.50","29,836.00","29,868.00","20,796"
30 ,"29,868.00","29,879.25","29,850.25","29,861.00","15,651"
31 ,"29,860.75","29,869.25","29,834.00","29,849.75","14,971"
32 ,"29,849.25","29,888.25","29,848.00","29,879.00","18,814"
33 ,"29,878.00","29,903.25","29,867.75","29,902.25","16,800"
34 ,"29,902.25","29,908.75","29,866.50","29,871.50","14,679"
35 ,"29,871.00","29,882.50","29,843.25","29,862.50","16,662"
36 ,"29,862.50","29,885.50","29,855.75","29,882.50","15,081"
37 ,"29,882.75","29,910.00","29,876.75","29,907.00","13,621"
38 ,"29,906.75","29,921.00","29,893.00","29,906.25","14,277"
39 ,"29,906.50","29,933.75","29,899.75","29,927.75","14,936"
40 ,"29,928.25","29,929.25","29,913.00","29,916.00","11,094"
41 ,"29,916.25","29,947.75","29,915.75","29,944.25","12,870"
42 ,"29,944.25","29,952.00","29,932.25","29,949.75","8,911"
43 ,"29,949.50","30,003.25","29,948.50","29,988.00","19,389"
44 ,"29,988.00","30,000.00","29,978.75","29,990.25","10,961"
45 ,"29,990.25","30,004.00","29,950.00","29,958.25","17,169"
46 ,"29,958.50","30,015.00","29,952.00","30,011.75","14,813"
47 ,"30,011.50","30,038.75","29,986.75","29,996.00","18,478"
48 ,"29,995.75","30,012.50","29,990.75","30,007.25","10,696"
49 ,"30,007.50","30,010.75","29,997.00","30,005.00","6,003"
50 ,"30,005.25","30,025.75","29,993.00","30,021.25","8,754"
51 ,"30,021.25","30,030.00","30,005.25","30,017.25","8,876"
52 ,"30,017.00","30,029.00","29,988.00","30,003.75","9,798"
53 ,"30,003.75","30,022.00","29,993.00","30,013.75","10,028"
54 ,"30,013.25","30,024.75","30,002.50","30,010.75","7,272"
55 ,"30,010.25","30,023.00","30,006.25","30,021.00","6,436"
56 ,"30,020.50","30,024.50","30,008.25","30,018.25","6,711"
57 ,"30,018.00","30,022.75","29,995.25","30,003.75","8,934"
58 ,"30,003.50","30,005.00","29,986.50","29,992.00","10,352"
59 ,"29,992.50","30,026.25","29,988.75","30,022.75","12,441"
60 ,"30,023.50","30,045.25","30,018.00","30,038.75","13,905"
61 ,"30,039.00","30,056.75","30,036.75","30,053.25","10,419"
62 ,"30,053.75","30,069.00","30,046.50","30,050.00","10,897"
63 ,"30,050.50","30,052.50","30,031.00","30,045.50","9,674"
64 ,"30,045.50","30,048.75","30,025.50","30,032.50","8,203"
65 ,"30,032.75","30,045.25","30,002.75","30,005.00","15,078"
66 ,"30,005.50","30,038.00","29,997.25","30,022.75","14,782"
67 ,"30,023.00","30,029.50","30,008.25","30,014.00","10,182"
68 ,"30,013.75","30,034.00","30,006.00","30,023.00","8,752"
69 ,"30,022.75","30,059.75","30,022.50","30,046.25","11,443"
70 ,"30,047.00","30,051.00","30,024.75","30,025.50","8,862"
71 ,"30,026.00","30,030.50","30,004.00","30,007.75","10,252"
72 ,"30,007.75","30,033.00","30,007.25","30,031.50","8,844"
