ts_event,open,high,low,close,volume
1 ,"1,889,000","1,890,000","1,863,000","1,864,000","149,444"
2 ,"1,863,000","1,864,000","1,855,000","1,856,000","186,329"
3 ,"1,856,000","1,906,000","1,853,000","1,904,000","523,976"
4 ,"1,905,000","1,995,000","1,903,000","1,988,000","1,028,184"
5 ,"1,987,000","1,990,000","1,945,000","1,964,000","553,692"
6 ,"1,964,000","1,990,000","1,951,000","1,988,000","315,881"
7 ,"1,988,000","2,010,000","1,977,000","1,992,000","372,537"
8 ,"1,992,000","1,992,000","1,961,000","1,963,000","257,239"
9 ,"1,963,000","1,988,000","1,935,000","1,937,000","285,451"
10 ,"1,937,000","1,973,000","1,930,000","1,958,000","239,020"
11 ,"1,959,000","1,997,000","1,957,000","1,983,000","255,431"
12 ,"1,983,000","2,009,000","1,973,000","2,000,000","297,325"
13 ,"2,000,000","2,026,000","1,990,000","2,006,000","340,611"
14 ,"2,006,000","2,024,000","1,995,000","2,000,000","195,945"
15 ,"2,001,000","2,045,000","2,000,000","2,043,000","202,574"
16 ,"2,044,000","2,064,000","2,026,000","2,062,000","237,408"
17 ,"2,062,000","2,072,000","2,039,000","2,041,000","305,724"
18 ,"2,041,000","2,059,000","2,023,000","2,028,000","201,349"
19 ,"2,029,000","2,039,000","2,014,000","2,027,000","170,550"
20 ,"2,027,000","2,034,000","2,011,000","2,013,000","108,962"
21 ,"2,012,000","2,037,000","2,012,000","2,028,000","74,276"
22 ,"2,029,000","2,033,000","2,015,000","2,029,000","77,100"
23 ,"2,030,000","2,037,000","2,021,000","2,025,000","79,379"
24 ,"2,023,000","2,026,000","2,010,000","2,018,000","85,377"
25 ,"2,016,000","2,029,500","2,011,000","2,014,000","59,152"
26 ,"2,014,000","2,018,000","2,005,000","2,006,000","67,129"
27 ,"2,007,000","2,009,000","1,993,000","2,005,000","124,248"
28 ,"2,006,000","2,012,000","2,001,000","2,005,000","55,403"
29 ,"2,004,000","2,006,000","1,990,000","1,990,000","103,615"
30 ,"1,991,000","2,000,000","1,977,000","1,979,000","136,798"
31 ,"1,978,000","1,997,000","1,978,000","1,982,000","100,495"
32 ,"1,983,000","1,983,000","1,958,000","1,966,000","193,637"
33 ,"1,965,000","1,990,000","1,964,000","1,984,000","138,175"
34 ,"1,984,000","1,986,000","1,952,000","1,956,000","151,665"
35 ,"1,956,000","1,957,000","1,920,000","1,927,000","292,851"
36 ,"1,927,000","1,944,000","1,921,000","1,930,000","165,175"
37 ,"1,931,000","1,947,000","1,927,000","1,944,000","211,151"
38 ,"1,944,000","1,944,000","1,913,000","1,918,000","311,781"
39 ,"1,911,000","1,911,000","1,911,000","1,911,000","592,717"
40 ,"1,895,000","1,911,000","1,871,000","1,900,000","372,064"
41 ,"1,899,000","1,911,000","1,894,000","1,910,000","76,638"
42 ,"1,909,000","1,922,000","1,908,000","1,922,000","72,508"
43 ,"1,922,000","1,933,000","1,916,000","1,927,000","85,366"
44 ,"1,927,000","1,932,000","1,920,000","1,928,000","60,149"
45 ,"1,927,000","1,941,000","1,927,000","1,939,000","49,462"
46 ,"1,939,000","1,954,000","1,935,000","1,954,000","53,723"
47 ,"1,954,000","1,964,000","1,949,000","1,963,000","60,121"
48 ,"1,964,000","1,964,000","1,944,000","1,962,000","55,173"
49 ,"1,962,000","1,969,000","1,958,000","1,966,000","59,081"
50 ,"1,967,000","1,975,000","1,965,000","1,970,000","44,734"
51 ,"1,969,000","1,978,000","1,969,000","1,974,000","36,101"
52 ,"1,974,000","1,975,000","1,952,000","1,960,000","52,065"
53 ,"1,960,000","1,962,000","1,943,000","1,955,000","43,738"
54 ,"1,955,000","1,966,000","1,950,000","1,951,000","28,122"
55 ,"1,951,000","1,966,000","1,947,000","1,963,000","25,382"
56 ,"1,964,000","1,964,000","1,957,000","1,958,000","17,269"
57 ,"1,958,000","1,960,000","1,952,000","1,959,000","20,669"
58 ,"1,958,000","1,964,000","1,958,000","1,964,000","18,540"
59 ,"1,964,000","1,967,000","1,963,000","1,967,000","22,816"
60 ,"1,967,000","1,972,000","1,966,000","1,972,000","20,968"
61 ,"1,972,000","1,978,000","1,970,000","1,970,000","36,453"
62 ,"1,970,000","1,971,000","1,964,000","1,966,000","28,544"
63 ,"1,967,000","1,972,000","1,961,000","1,970,000","42,771"
64 ,"1,970,000","1,970,000","1,964,000","1,968,000","37,459"
65 ,"1,969,000","1,978,000","1,968,000","1,978,000","94,570"
66 ,"2,010,000","2,068,000","2,010,000","2,061,000","456,558"
67 ,"2,061,000","2,075,000","2,056,000","2,057,000","202,669"
68 ,"2,057,000","2,065,000","2,056,000","2,063,000","74,386"
69 ,"2,064,000","2,065,000","2,045,000","2,056,000","106,995"
70 ,"2,056,000","2,057,000","2,041,000","2,045,000","88,049"
71 ,"2,050,000","2,066,000","2,017,000","2,018,000","688,294"
72 ,"2,018,000","2,052,000","2,017,000","2,041,000","319,480"
73 ,"2,041,000","2,051,000","2,028,000","2,042,000","174,163"
74 ,"2,042,000","2,046,000","2,007,000","2,030,000","215,178"
75 ,"2,032,000","2,041,000","2,029,000","2,040,000","134,797"
76 ,"2,040,000","2,042,000","2,026,000","2,035,000","127,310"
77 ,"2,035,000","2,041,000","2,020,000","2,021,000","119,312"
78 ,"2,022,000","2,022,000","1,998,000","2,015,000","248,967"
79 ,"2,015,000","2,035,000","2,010,000","2,027,000","176,420"
80 ,"2,027,000","2,062,000","2,027,000","2,062,000","291,382"
81 ,"2,062,000","2,070,000","2,048,000","2,062,000","198,823"
82 ,"2,062,000","2,077,000","2,056,000","2,068,500","220,486"
83 ,"2,069,000","2,069,000","2,057,000","2,064,000","84,454"
84 ,"2,064,000","2,069,000","2,056,000","2,063,000","102,704"
85 ,"2,063,000","2,064,000","2,043,000","2,060,000","117,477"
86 ,"2,059,000","2,062,000","2,045,000","2,045,000","86,534"
87 ,"2,046,000","2,058,000","2,045,000","2,053,000","62,131"
88 ,"2,052,000","2,060,000","2,048,000","2,058,000","54,796"
89 ,"2,057,500","2,067,000","2,055,000","2,066,000","75,670"
90 ,"2,067,000","2,083,000","2,065,000","2,083,000","176,803"
91 ,"2,083,000","2,090,000","2,075,000","2,089,000","142,994"
92 ,"2,090,000","2,119,000","2,088,000","2,119,000","252,191"
93 ,"2,119,000","2,124,000","2,108,000","2,108,000","179,272"
94 ,"2,108,000","2,135,000","2,104,000","2,133,000","178,947"
95 ,"2,134,000","2,134,000","2,122,000","2,132,000","134,213"
96 ,"2,132,000","2,150,000","2,130,000","2,150,000","176,668"
97 ,"2,149,000","2,161,000","2,136,000","2,161,000","203,253"
98 ,"2,161,000","2,184,000","2,157,000","2,183,000","245,112"
99 ,"2,183,000","2,188,000","2,160,000","2,166,000","230,823"
100 ,"2,166,000","2,175,000","2,157,000","2,169,000","152,263"
101 ,"2,169,000","2,187,000","2,161,000","2,162,000","178,086"
102 ,"2,162,000","2,181,000","2,160,000","2,179,000","113,557"
103 ,"2,178,500","2,186,000","2,169,000","2,178,000","156,217"
104 ,"2,178,000","2,215,000","2,176,000","2,212,000","324,402"
105 ,"2,212,000","2,226,000","2,197,000","2,220,000","247,628"
106 ,"2,220,000","2,222,000","2,190,000","2,212,000","232,761"
107 ,"2,211,000","2,212,000","2,193,000","2,202,000","212,888"
108 ,"2,201,000","2,220,000","2,197,000","2,219,000","270,434"
109 ,"2,215,000","2,215,000","2,215,000","2,215,000","572,636"
110 ,"2,211,000","2,230,000","2,198,000","2,218,000","153,366"
111 ,"2,218,000","2,218,000","2,199,000","2,199,000","55,898"
112 ,"2,199,000","2,208,000","2,194,000","2,200,000","39,791"
113 ,"2,200,000","2,209,000","2,200,000","2,204,000","17,719"
114 ,"2,205,000","2,205,000","2,197,000","2,197,000","21,086"
115 ,"2,198,000","2,198,000","2,190,000","2,191,000","25,722"
116 ,"2,191,000","2,200,000","2,188,000","2,191,000","28,211"
117 ,"2,191,000","2,193,000","2,189,000","2,189,000","15,867"
118 ,"2,189,000","2,201,000","2,188,000","2,201,000","28,149"
119 ,"2,200,000","2,209,000","2,200,000","2,202,000","24,348"
120 ,"2,202,000","2,210,000","2,202,000","2,209,000","13,463"
121 ,"2,209,000","2,215,000","2,209,000","2,214,000","22,593"
122 ,"2,214,000","2,220,000","2,213,000","2,217,000","24,356"
123 ,"2,217,000","2,219,000","2,213,000","2,218,000","15,384"
124 ,"2,219,000","2,219,000","2,218,000","2,218,000","12,435"
125 ,"2,218,000","2,219,000","2,215,000","2,216,000","17,086"
126 ,"2,215,000","2,219,000","2,215,000","2,219,000","11,470"
127 ,"2,219,000","2,219,000","2,215,000","2,215,000","13,394"
128 ,"2,216,000","2,220,000","2,215,000","2,220,000","17,794"
129 ,"2,220,000","2,226,000","2,219,000","2,226,000","25,221"
130 ,"2,226,000","2,236,000","2,225,000","2,226,000","59,264"
131 ,"2,226,000","2,230,000","2,221,000","2,227,000","24,224"
132 ,"2,227,000","2,229,000","2,222,000","2,229,000","21,723"
133 ,"2,229,000","2,230,000","2,226,000","2,227,000","26,630"
134 ,"2,226,000","2,233,000","2,226,000","2,233,000","33,967"
135 ,"2,233,000","2,242,000","2,232,000","2,236,000","100,037"
136 ,"2,113,000","2,131,000","2,048,000","2,122,000","355,164"
